,aircraft,travellers_type,Seat_type,route,date_flown
2773,Boeing 777,Couple Leisure,Premium Economy,LGW to Grenada,November 2015
2774,Boeing 767 / A320,Business,Economy Class,LHR to EDI,November 2015
2775,,Couple Leisure,Business Class,LHR to DXB,November 2015
2776,,Business,Economy Class,LHR to MUC,November 2015
2777,Boeing 777,Couple Leisure,Business Class,Tampa to Gatwick,November 2015
2778,A319,Solo Leisure,Business Class,FCO to LGW,November 2015
2779,Boeing 747-400,Couple Leisure,Premium Economy,LHR to MIA,November 2015
2780,A320,Business,Business Class,Hannover to LHR,November 2015
2781,,Business,Economy Class,DUB to LCY,November 2015
2782,A320,Business,Business Class,LHR to Hannover,November 2015
2783,Boeing 777,Solo Leisure,Business Class,LHR to DXB,November 2015
2784,Boeing 777,Solo Leisure,First Class,Heathrow to Houston,November 2015
2785,A319,Business,Economy Class,Kiev to Dublin via LHR,November 2015
2786,Boeing 777-300,Business,Premium Economy,Sydney to Singapore,October 2015
2787,A320,Solo Leisure,Economy Class,ATH to LHR,September 2015
2788,,Business,Economy Class,LCY to ZRH,November 2015
2789,,Solo Leisure,Economy Class,GLA to FCO via LHR,November 2015
2790,Boeing 747-400,Couple Leisure,First Class,CPT to LHR,November 2015
2791,Boeing 777-200,Couple Leisure,Business Class,LHR to LAX,November 2015
2792,Boeing 777-300,Business,Business Class,LHR to EZE,November 2015
2793,,Couple Leisure,Economy Class,Mauritius to London,November 2015
2794,Boeing 777,Family Leisure,Economy Class,Gatwick to Orlando,October 2015
2795,,Family Leisure,Economy Class,Heathrow to Las Vegas,November 2015
2796,A320,Solo Leisure,Economy Class,Rome to Heathrow,October 2015
2797,A320/319,Solo Leisure,Economy Class,Gatwick to Venice,November 2015
2798,Boeing 777,Couple Leisure,Business Class,London to Luanda,November 2015
2799,Boeing 747-400,Family Leisure,Economy Class,Denver to Heathrow,November 2015
2800,Boeing 777-200,Business,Business Class,BKK to LHR,November 2015
2801,,Couple Leisure,Business Class,London to Tampa,September 2015
2802,Boeing 777-300,Couple Leisure,First Class,London to Sydney,November 2015
2803,Boeing 747-400,Couple Leisure,First Class,LHR to CPT,October 2015
2804,,Business,Economy Class,BLR to LHR,November 2015
2805,Boeing 777,Couple Leisure,Business Class,London to Kuala Lumpur,October 2015
2806,Boeing 747-400,Business,Premium Economy,NCE to LAS via LHR,November 2015
2807,,Business,Economy Class,Washington to London,November 2015
2808,Boeing 777,Solo Leisure,First Class,Singapore to Sydney,May 2015
2809,,Solo Leisure,Economy Class,Gatwick to Cancun,November 2015
2810,,Solo Leisure,Economy Class,DFW to DEL via LHR,November 2015
2811,A320 / A380,Family Leisure,Economy Class,GOT to LAX via LHR,October 2015
2812,,Solo Leisure,Economy Class,London to Delhi,October 2015
2813,,Solo Leisure,Economy Class,Heathrow to Moscow,September 2015
2814,A320,Business,Business Class,Istanbul to London,November 2015
2815,A319 / Boeing 777-300,Solo Leisure,Economy Class,GVA to PEK via LHR,October 2015
2816,Boeing 777,Couple Leisure,Business Class,LHR to NBO,November 2015
2817,Boeing 777,Business,First Class,SEA to AUH via LHR,October 2015
2818,Boeing 787,Solo Leisure,Premium Economy,Newark to Heathrow,November 2015
2819,,Family Leisure,Economy Class,Venice to Gatwick,November 2015
2820,Boeing 747-400,Family Leisure,Economy Class,Heathrow to Las Vegas,October 2015
2821,A320,Solo Leisure,Economy Class,Lisbon to London,November 2015
2822,Boeing 777,Solo Leisure,Business Class,PHL to ATH via LHR,October 2015
2823,,Solo Leisure,Economy Class,Vienna to London,September 2015
2824,Boeing 777,Business,Business Class,SIN to LHR,November 2015
2825,A380,Couple Leisure,Business Class,MIA to LHR,October 2015
2826,Boeing 747-400,Solo Leisure,Economy Class,SFO to LHR,September 2015
2827,,Family Leisure,Economy Class,SSH to LGW,October 2015
2828,Boeing 777-200,Couple Leisure,Premium Economy,London Heathrow to Bangkok,October 2015
2829,A380,Solo Leisure,Premium Economy,SFO to LHR,October 2015
2830,A321,Business,Economy Class,London Heathrow to Milan Malpensa,October 2015
2831,Boeing 787-800,Solo Leisure,Business Class,LHR to Chengdu,March 2015
2832,Boeing 777-300ER,Business,Business Class,Tokyo Narita to LHR,January 2015
2833,Boeing 777-300ER,Business,First Class,LHR to Tokyo Narita,January 2015
2834,Boeing 747- 400,Couple Leisure,Economy Class,MAN to LAS via LHR,October 2015
2835,Boeing 777,Solo Leisure,Premium Economy,Heathrow (London) to JFK (New York City),October 2015
2836,A380,Solo Leisure,Economy Class,LHR to SFO,September 2015
2837,Boeing 787,Couple Leisure,Economy Class,London to Chennai,October 2015
2838,,Couple Leisure,Business Class,LHR to Venice,October 2015
2839,,Solo Leisure,Economy Class,SFO to EDI via LHR,September 2015
2840,Boeing 747-400,Business,Premium Economy,London to Phoenix,October 2015
2841,,Solo Leisure,Economy Class,Antigua to St Kitts,September 2015
2842,Boeing 747-400,Couple Leisure,Premium Economy,SFO to LHR,October 2015
2843,,Couple Leisure,Economy Class,LHR to JNB,January 2015
2844,Boeing 777,Couple Leisure,Economy Class,Orlando to London,October 2015
2845,B0eing 747-400,Business,Economy Class,London to Cape Town,October 2015
2846,Boeing 777-200,Business,Business Class,Heathrow to Haneda,October 2015
2847,A319,Solo Leisure,Economy Class,LHR to GVA,October 2015
2848,A320,Solo Leisure,Business Class,LHR to AMS,October 2015
2849,,Couple Leisure,Economy Class,Heathrow to Cancun via Madrid,August 2015
2850,Boeing 777,Couple Leisure,Premium Economy,LHR to SYD via SIN,October 2015
2851,,Solo Leisure,Premium Economy,LHR to BKK,September 2015
2852,Boeing 777-200,Couple Leisure,Business Class,SYD to LHR via SIN,October 2015
2853,A380,Couple Leisure,Premium Economy,LHR to JNB,October 2015
2854,A319,Couple Leisure,Business Class,Pisa to London Gatwick,October 2015
2855,A380 / Boeing 777,Family Leisure,Business Class,LHR to SYD via SIN,October 2015
2856,Boeing 777-200,Business,Economy Class,Antigua to Gatwick,October 2015
2857,A380,Couple Leisure,Business Class,London to Los Angeles,October 2015
2858,Boeing 747-400,Business,Business Class,LHR to SIN,October 2015
2859,A320,Business,Business Class,Athens to London,October 2015
2860,Boeing 777,Couple Leisure,Business Class,SAN to LHR,October 2015
2861,Boeing 777-200,Family Leisure,Premium Economy,Gatwick to Las Vegas,October 2015
2862,Boeing 747,Business,Premium Economy,Vancouver to London,September 2015
2863,A320,Couple Leisure,Economy Class,LHR to MAD,October 2015
2864,A319,Solo Leisure,Economy Class,Bologna to Heathrow,October 2015
2865,Boeing 747 400,Couple Leisure,Economy Class,LAS to LHR,October 2015
2866,A320,Couple Leisure,Business Class,Gatwick to Pisa,October 2015
2867,,Solo Leisure,Economy Class,Heathrow to Belfast,August 2015
2868,A319,Couple Leisure,Business Class,Gatwick to Bari,September 2015
2869,,Solo Leisure,Business Class,Rome to London,October 2015
2870,,Business,Business Class,SIN to BOS via LHR,September 2015
2871,Boeing 777,Solo Leisure,Business Class,LHR to SAN,September 2015
2872,A319,Solo Leisure,Economy Class,London to Rome,October 2015
2873,767-300,Family Leisure,First Class,LHR to ARN,October 2015
2874,,Solo Leisure,Economy Class,MAN to SVO via LHR,September 2015
2875,Boeing 777-200,Couple Leisure,Economy Class,TLV to SAN via LHR,October 2015
2876,A319/A321,Couple Leisure,Economy Class,LHR to AMS,October 2015
2877,Boeing 777-200,Business,Economy Class,Heathrow to Bahrain,October 2015
2878,A380,Business,Business Class,LHR to SIN,August 2015
2879,Boeing 777-200,Family Leisure,Economy Class,LHR to KUL,August 2015
2880,A320,Solo Leisure,Economy Class,HEL to JNB via LHR,October 2015
2881,Boeing 777-200,Solo Leisure,Economy Class,London to Bangkok,April 2015
2882,Boeing 777-200,Couple Leisure,Premium Economy,GLA to BKK via LHR,October 2015
2883,A320,Couple Leisure,Business Class,Fuereventura to LGW,October 2015
2884,Boeing 747-400,Couple Leisure,Economy Class,DUB to LAS via LHR,October 2015
2885,Boeing 747,Family Leisure,Economy Class,Jersey to MIA via London,April 2015
2886,,Couple Leisure,Economy Class,YYZ to FCO via LHR,September 2015
2887,Boeing 777-300,Business,First Class,LHR to SYD via SIN,September 2015
2888,Boeing 777-300,Couple Leisure,Premium Economy,DFW to LHR,September 2015
2889,,Family Leisure,Economy Class,February 2015,
2890,Boeing 747-400,Couple Leisure,Economy Class,Cape Town to London,October 2015
2891,A380,Business,Business Class,HKG to LHR,September 2015
2892,A320 / Boeing 787,Business,Premium Economy,DUS to PHL via LHR,September 2015
2893,Boeing 747-400,Solo Leisure,Business Class,LAS to LHR,September 2015
2894,A320,Solo Leisure,Economy Class,Heathrow to Manchester,October 2015
2895,,Couple Leisure,Economy Class,London to Toronto,September 2015
2896,Boeing 747-400,Business,Economy Class,LHR to SFO,September 2015
2897,,Family Leisure,Business Class,LHR to Chicago O'Hare,December 2014
2898,,Business,Business Class,Nairobi to London,September 2015
2899,A320 and A319,Solo Leisure,Economy Class,lgw to alicante,September 2015
2900,Boeing 747-400,Solo Leisure,Economy Class,Phoenix to Heathrow,September 2015
2901,A319,Family Leisure,Economy Class,LGW to ALC,August 2015
2902,Boeing 747-400,Couple Leisure,Economy Class,London to Johannesburg,September 2015
2903,A320,Business,Economy Class,VIE to LHR,September 2015
2904,,Couple Leisure,Economy Class,September 2015,
2905,,Couple Leisure,Economy Class,Denver to London,August 2015
2906,,Solo Leisure,Business Class,Heathrow to Munich,September 2015
2907,Boeing 747-400,Family Leisure,Economy Class,Phoenix to Heathrow,September 2015
2908,A320,Solo Leisure,Business Class,LGW to SSH,September 2015
2909,A320,Solo Leisure,Business Class,SSH to LGW,September 2015
2910,A320,Family Leisure,Economy Class,LHR to GIB,September 2015
2911,Boeing 747-400,Business,Business Class,LHR to DXB,September 2015
2912,A320,Business,Business Class,Stockholm to London,September 2015
2913,,Family Leisure,Economy Class,London to Seattle,August 2015
2914,Boeing 777,Couple Leisure,Business Class,SYD to SIN,May 2015
2915,Boeing 777,Business,Business Class,HND to LHR,September 2015
2916,Boeing 747-400,Solo Leisure,Business Class,Vancouver to London,September 2015
2917,A320,Solo Leisure,Economy Class,Barcelona to London Heathrow,September 2015
2918,,Couple Leisure,Economy Class,St Kitts to Gatwick via Antigua,September 2015
2919,Boeing 777,Solo Leisure,Premium Economy,LHR to IAD,September 2015
2920,,Couple Leisure,Economy Class,London Gatwick to Cancun,September 2015
2921,A320,Couple Leisure,Business Class,LHR to Bologna,September 2015
2922,Boeing 767,Couple Leisure,Economy Class,LCA to LHR,September 2015
2923,A320,Couple Leisure,Economy Class,AMS to LHR,September 2015
2924,Boeing 747-400,Couple Leisure,Economy Class,LHR to MIA,September 2015
2925,A320,Solo Leisure,Economy Class,LHR to CPH,August 2015
2926,A318,Business,Business Class,LCY to JFK via SNN,September 2015
2927,A320,Couple Leisure,Economy Class,LHR to BUD,September 2015
2928,Boeing 737,Business,Business Class,Gatwick to Naples,September 2015
2929,A320,Couple Leisure,Business Class,LHR to KGS,September 2015
2930,Boeing 747-400,Couple Leisure,First Class,Boston to London,September 2015
2931,A320,Solo Leisure,Economy Class,LHR to OSL,August 2015
2932,Embraer E190,Family Leisure,Business Class,LCY to Granada,July 2015
2933,,Couple Leisure,Economy Class,Glasgow to Paris via LHR,September 2015
2934,Boeing 777-200ER,Solo Leisure,Business Class,St Lucia to LGW,September 2015
2935,Boeing 747-400,Couple Leisure,Premium Economy,LHR to PHX,September 2015
2936,,Couple Leisure,Economy Class,Gatwick to Barcelona,September 2015
2937,,Business,Business Class,LHR to BRU,September 2015
2938,Boeing 747-400,Couple Leisure,Economy Class,Heathrow to Vancouver,July 2015
2939,Boeing 747-400,Couple Leisure,Economy Class,Glasgow to Cape Town via LHR,September 2015
2940,Boeing 747 / 777 / A380,Solo Leisure,Business Class,DXB to IAD via LHR,September 2015
2941,Boeing 777,Solo Leisure,Premium Economy,YYZ to LHR,September 2015
2942,,Couple Leisure,Economy Class,Heathrow to Amsterdam,August 2015
2943,Boeing 747-400,Solo Leisure,Premium Economy,LHR to MIA,September 2015
2944,,Solo Leisure,Business Class,Istanbul to Denver via LHR,September 2015
2945,Boeing 767,Couple Leisure,Economy Class,Madrid to Heathrow,September 2015
2946,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Mauritius,September 2015
2947,Boeing 777-200,Couple Leisure,Economy Class,Moscow to Heathrow,August 2015
2948,A319,Couple Leisure,Economy Class,London to St Petersburgh,August 2015
2949,A380,Couple Leisure,Business Class,Los Angeles to London,September 2015
2950,A319,Couple Leisure,Business Class,London Heathrow to Basel,August 2015
2951,A320,Business,Business Class,London Heathrow to Rome FCO,September 2015
2952,,Couple Leisure,Economy Class,JFK to Heathrow,September 2015
2953,Boeing 777,Solo Leisure,Economy Class,LHR to BKK,April 2015
2954,Boeing 777,Couple Leisure,First Class,London to Tokyo,March 2015
2955,,Solo Leisure,Economy Class,Vancouver to Milan via LHR,September 2015
2956,Boeing 777-300,Family Leisure,Economy Class,GIG to LHR,September 2015
2957,A319,Solo Leisure,Business Class,London Heathrow to Venice,August 2015
2958,A321,Solo Leisure,Economy Class,London to Paris,August 2015
2959,Boeing 777-200,Couple Leisure,Economy Class,Heathrow to Bangkok,August 2015
2960,Boeing 747-400,Family Leisure,Economy Class,Las Vegas to London Heathrow,August 2015
2961,A320,Business,Business Class,Athens to London,September 2015
2962,Boeing 777,Solo Leisure,Economy Class,JFK to Manchester via LHR,September 2015
2963,A319,Couple Leisure,Economy Class,Gatwick to Barcelona,August 2015
2964,Boeing 777,Business,First Class,Dubai to LHR,September 2015
2965,Boeing 747-400,Business,Business Class,LHR to PEK,August 2015
2966,,Family Leisure,Economy Class,Cape Town to London Heathrow,August 2015
2967,Boeing 747-400,Business,Business Class,London to New York JFK,September 2015
2968,Boeing 777-200,Couple Leisure,Business Class,Glasgow to New York via LHR,August 2015
2969,A380,Couple Leisure,Business Class,Heathrow to Johannesburg,August 2015
2970,A320,Couple Leisure,Business Class,LHR to ARN,August 2015
2971,Boeing 747-400,Business,First Class,London to Dubai,August 2015
2972,A321,Business,Business Class,London to Brussels,August 2015
2973,A380,Couple Leisure,Business Class,LAX to LHR,August 2015
2974,Boeing 747-400,Family Leisure,Economy Class,Denver to London,August 2015
2975,Boeing 747-400,Family Leisure,Economy Class,LHR to JFK,September 2015
2976,Boeing 767,Couple Leisure,Economy Class,Calgary to London,August 2015
2977,,Family Leisure,Economy Class,Amsterdam to London,August 2015
2978,A320,Solo Leisure,Economy Class,MXP to LHR,August 2015
2979,Boeing 777,Couple Leisure,Business Class,Toronto to London Heathrow,July 2015
2980,A320,Solo Leisure,Economy Class,Lyon to London Heathrow,July 2015
2981,A320,Family Leisure,Economy Class,Gatwick to Marrakech,August 2015
2982,,Family Leisure,Economy Class,Miami to London Heathrow,August 2015
2983,A319,Business,Economy Class,London to Geneva,June 2015
2984,Boeing 747-400,Business,Economy Class,LHR to PHX,August 2015
2985,Boeing 747,Family Leisure,Economy Class,Manchester to Boston via Heathrow,August 2015
2986,Boeing 767,Business,Business Class,LCA to LHR,August 2015
2987,A319,Business,Economy Class,Heathrow to Aberdeen,August 2015
2988,Boeing 777-300,Couple Leisure,Business Class,London to Kuala lumpur,August 2015
2989,,Solo Leisure,Business Class,London to Berlin,August 2015
2990,,Family Leisure,Economy Class,Denver to Heathrow,August 2015
2991,A321,Couple Leisure,Business Class,LHR to CPH,August 2015
2992,A319/A320,Solo Leisure,Economy Class,GLA to PRG via LHR,August 2015
2993,Boeing 737-400,Couple Leisure,Economy Class,Gatwick to Genoa,August 2015
2994,A319,Couple Leisure,Economy Class,London Heathrow to Toulouse,August 2015
2995,,Couple Leisure,Economy Class,London to Copenhagen,August 2015
2996,A319,Couple Leisure,Economy Class,LHR to DUB,August 2015
2997,A320,Solo Leisure,Economy Class,Berlin to London Heathrow,August 2015
2998,A380,Business,First Class,LHR to IAD,August 2015
2999,Boeing 777-236,Business,Business Class,DOH to LHR via BAH,August 2015
3000,Boeing 747-400,Family Leisure,Economy Class,LHR to CPT,August 2015
3001,,Couple Leisure,Economy Class,St Lucia to Gatwick,August 2015
3002,A319,Solo Leisure,Business Class,Bari to London Gatwick,August 2015
3003,,Family Leisure,Economy Class,London to Toronto,August 2015
3004,A319,Couple Leisure,Economy Class,London Heathrow to Düsseldorf,August 2015
3005,,Family Leisure,Business Class,London to Jeddah,August 2015
3006,,Family Leisure,Business Class,London to Jeddah,August 2015
3007,,Family Leisure,Business Class,LHR to BCN,August 2015
3008,A380,Business,Business Class,Johannesburg to London Heathrow,August 2015
3009,A380,Family Leisure,Economy Class,SFO to LHR,August 2015
3010,A320,Family Leisure,Economy Class,Amsterdam to London Heathrow,August 2015
3011,,Couple Leisure,Economy Class,Edinburgh to London City,August 2015
3012,A320,Family Leisure,Business Class,Marseille to London Heathrow,August 2015
3013,Boeing 777 / A320,Couple Leisure,Business Class,MIA to BRU via LHR,July 2015
3014,,Business,Economy Class,Gatwick to Bridgetown,May 2015
3015,Boeing 747-300,Couple Leisure,Economy Class,RUH to NCL via LHR,August 2015
3016,Boeing 777,Couple Leisure,First Class,PHL to TXL via LHR,July 2015
3017,,Family Leisure,Economy Class,London Gatwick to Rome Fiumicino,August 2015
3018,Boeing 747,Family Leisure,Economy Class,Hyderabad to Phoenix via LHR,August 2015
3019,Boeing 777,Couple Leisure,Business Class,Washington Dulles to Heathrow,August 2015
3020,Boeing 767,Couple Leisure,Business Class,London to Nassau,August 2015
3021,,Couple Leisure,Economy Class,Dublin to Vancouver via London Heathrow,August 2015
3022,Boeing 747,Family Leisure,Business Class,LHR to LAS,July 2015
3023,Boeing 747-400,Family Leisure,Economy Class,Boston to London,April 2015
3024,,Family Leisure,Economy Class,Sydney to London via Singapore,June 2015
3025,,Business,Business Class,Bologna to Montreal via London,September 2014
3026,Boeing 777,Solo Leisure,Business Class,London to Sydney via Singapore,July 2015
3027,Boeing 777,Solo Leisure,First Class,Sydney to London via Singapore,June 2015
3028,A319,Solo Leisure,Economy Class,Glasgow to London Gatwick,August 2015
3029,Boeing 767,Couple Leisure,Business Class,LHR to IST,August 2015
3030,A319/A321,Solo Leisure,Economy Class,GLA to DME via LGW / LHR,July 2015
3031,Boeing 747-400 / A321,Solo Leisure,Economy Class,DME to GLA via LHR,August 2015
3032,,Family Leisure,Economy Class,London to Orlando via Miami,August 2015
3033,Boeing 747-400,Business,Business Class,Beijing to London Heathrow,August 2015
3034,Boeing 767,Solo Leisure,Economy Class,London to Larnaca,August 2015
3035,,Solo Leisure,Economy Class,London to Pisa,August 2015
3036,A319,Solo Leisure,Economy Class,Dublin to LHR,August 2015
3037,,Solo Leisure,Economy Class,Lebanon to Calgary,May 2015
3038,Boeing 777,Couple Leisure,Economy Class,Sydney to Lisbon via LHR,August 2015
3039,Boeing 747-400,Business,Economy Class,LHR to DXB,July 2015
3040,Boeing 747 400,Couple Leisure,Economy Class,Cape Town to London,June 2015
3041,Boeing 747 400,Couple Leisure,Economy Class,London to Cape Town,July 2015
3042,Boeing 777,Business,First Class,Chicago to London,August 2015
3043,Boeing 777,Family Leisure,Economy Class,Washington Dulles to LHR,August 2015
3044,A319,Solo Leisure,Business Class,LHR to ZRH,June 2015
3045,Boeing 777,Business,Business Class,Tokyo Narita to London,July 2015
3046,,Family Leisure,Premium Economy,Manchester to San Fran via London,July 2015
3047,,Couple Leisure,Premium Economy,Los Angeles to Milan via LHR,July 2015
3048,,Business,Economy Class,London to Vienna,July 2015
3049,Boeing 777-300,Couple Leisure,Economy Class,London to Sydney via Singapore,July 2015
3050,A319 / A320,Business,Economy Class,Heathrow to Vienna,July 2015
3051,Boeing 747-400,Business,Business Class,Cape Town to London,July 2015
3052,,Family Leisure,Premium Economy,Seoul to London,July 2015
3053,Boeing 747 and A320,Family Leisure,Economy Class,San Francisco to Zurich via LHR,July 2015
3054,Boeing 747-400,Solo Leisure,First Class,Vancouver to Heathrow,June 2015
3055,Boeing 747,Business,First Class,New York to Dublin via Heathrow,July 2015
3056,A321,Business,Economy Class,MAN-LHR,July 2015
3057,Boeing 777,Business,Business Class,London Heathrow to Tokyo,July 2015
3058,,Couple Leisure,Economy Class,London to Entebbe,July 2015
3059,Boeing 767,Business,Business Class,Istambul to London Heathrow,July 2015
3060,Boeing 767,Business,Business Class,London Heathrow to Istanbul,July 2015
3061,A318,Business,Business Class,London to Faro,July 2015
3062,,Couple Leisure,Business Class,Verona to LGW,July 2015
3063,A319,Solo Leisure,Economy Class,Bari to Gatwick,July 2015
3064,Boeing 777,Couple Leisure,Business Class,Orlando to London,May 2015
3065,A319,Business,Economy Class,London to Newcastle,July 2015
3066,,A320,Business,Economy Class,LHR to VIE return
3067,,Solo Leisure,Economy Class,London Gatwick to Tampa International,July 2015
3068,Boeing 777-200,Couple Leisure,Economy Class,LHR-BOM,July 2015
3069,Boeing 777-300,Solo Leisure,Economy Class,London to Singapire,July 2015
3070,Boeing 777-200,Family Leisure,Economy Class,London to Kuala Lumpur,July 2015
3071,Boeing 777-200,Solo Leisure,Economy Class,ATL to LHR,July 2015
3072,Boeing 767/Airbus A320,Solo Leisure,Premium Economy,London Heathrow to Athens,July 2015
3073,Boeing 777,Couple Leisure,Business Class,Orlando to London,May 2015
3074,Boeing 777,Business,Business Class,Singapore to Sydney,July 2015
3075,,Couple Leisure,First Class,LHR to IAD,July 2015
3076,Boeing 777-200,Couple Leisure,Business Class,LHR to KUL,July 2015
3077,Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Bangkok,July 2015
3078,,Couple Leisure,Economy Class,LHR to NCL,July 2015
3079,Boeing 747-400,Solo Leisure,Business Class,London Heathrow to Chicago O'Hare,June 2015
3080,Boeing 747-400,Solo Leisure,First Class,ORD to LHR,July 2015
3081,Boeing 747,Solo Leisure,Business Class,Vancouver Canada to London,July 2015
3082,A321 / Boeing 747-400,Solo Leisure,Economy Class,CAI to JFK via LHR,September 2014
3083,Boeing 747- 400,Family Leisure,Economy Class,LHR to JNB,June 2015
3084,A321,Business,Economy Class,Heathrow to Brussels,July 2015
3085,A320,Solo Leisure,Business Class,Tel Aviv to London LHR,December 2014
3086,A380,Couple Leisure,Economy Class,LHR to LAX,May 2015
3087,Boeing 747-400,Business,Business Class,London to Singapore,July 2015
3088,A320,Solo Leisure,Economy Class,LHR to EDI,July 2015
3089,A319/A320,Couple Leisure,Business Class,Gatwick to Dubrovnik,June 2015
3090,A321,Family Leisure,Economy Class,LHR to Hamburg,May 2015
3091,,Business,Economy Class,Shanghai to London Heathrow,June 2015
3092,A320,Family Leisure,Business Class,Helsinki to London,June 2015
3093,Boeing 747-400,Couple Leisure,Premium Economy,Chicago to Paris via London,May 2015
3094,Boeing 767,Business,Business Class,Istanbul to London,July 2015
3095,Boeing 777,Business,Business Class,Bangkok to London,July 2015
3096,E170,Business,First Class,Dublin to London City,July 2015
3097,Boeing 777,Business,Business Class,Sydney to Singapore,June 2015
3098,Boeing 767,Business,Business Class,London to Istanbul,July 2015
3099,Boeing 747-400,Business,Business Class,Singapore to London,July 2015
3100,,Family Leisure,Economy Class,London Gatwick to Orlando MCO,June 2015
3101,A318,Solo Leisure,Business Class,LCY to JFK via Shannon,August 2014
3102,,Business,Economy Class,London Heathrow to Dubai,June 2015
3103,Boeing 777,Family Leisure,Economy Class,Gatwick to Orlando,June 2015
3104,A320,Solo Leisure,Economy Class,Heathrow to Warsaw,July 2015
3105,,Family Leisure,Economy Class,JFK to TAV via LHR,July 2015
3106,,Family Leisure,Economy Class,Toronto to Rome via London,July 2015
3107,,Family Leisure,Economy Class,Rotterdam to London,June 2015
3108,B777-300 / A319,Solo Leisure,Economy Class,Chicago to Berlin via London Heathrow,June 2015
3109,,Solo Leisure,Business Class,LHR to JFK,July 2015
3110,,Couple Leisure,Economy Class,Heathrow to Ibiza,June 2015
3111,A380,Solo Leisure,Economy Class,London to Los Angesles,June 2015
3112,Boeing 777-200,Family Leisure,Economy Class,YUL to FCO via LHR,October 2014
3113,,Couple Leisure,Premium Economy,Washington DC to Heathrow,June 2015
3114,A320 / Boeing 777-300,Solo Leisure,Economy Class,Berlin to Chicago via LHR,June 2015
3115,,Couple Leisure,Economy Class,Vienna to London,November 2014
3116,,Couple Leisure,Economy Class,London to Vienna,November 2014
3117,A321 and B767,Solo Leisure,Business Class,LHR to FCO,June 2015
3118,Boeing 767,Couple Leisure,Business Class,LHR to Grand Cayman via Nassau,June 2015
3119,A320,Couple Leisure,Business Class,Santorini to LHR,June 2015
3120,A319,Solo Leisure,Economy Class,London Gatwick to Glasgow,June 2015
3121,Airbus A380,Couple Leisure,Business Class,London to Johannesburg,May 2015
3122,Boeing 737,Couple Leisure,Economy Class,Naples to London Gatwick,June 2015
3123,A320,Business,Business Class,Geneva to London,May 2015
3124,B747-400 / A319,Solo Leisure,Economy Class,Vancouver to Berlin via London,April 2015
3125,,Business,Business Class,LHR to LUX,June 2015
3126,A320,Solo Leisure,First Class,LHR to NCL,June 2015
3127,A320,Couple Leisure,Business Class,LHR to Santorini,June 2015
3128,B747 400,Solo Leisure,First Class,LHR to MIA,June 2015
3129,777-200,Couple Leisure,Economy Class,Bangkok to Heathrow,May 2015
3130,777,Business,Business Class,Buenos Aires to Heathrow,July 2014
3131,,Solo Leisure,Los Angeles to London to Paris to Rome,May 2015,
3132,,Couple Leisure,Business Class,LHR to BKK,June 2015
3133,A320,Solo Leisure,Economy Class,LHR to Milan Malpensa,June 2015
3134,boeing 787,Solo Leisure,Business Class,Seoul to London,June 2015
3135,,Couple Leisure,Economy Class,London to Turkey,June 2015
3136,,Solo Leisure,Economy Class,Abu Dhabi to Muscat,June 2015
3137,B747-400,Solo Leisure,Economy Class,LHR to YYZ,May 2015
3138,A320,Couple Leisure,Economy Class,LGW to VCE,June 2015
3139,A321,Business,Business Class,LHR to SOF,May 2015
3140,B747,Solo Leisure,Economy Class,LHR-DEN,May 2015
3141,777-300,Solo Leisure,Business Class,ORD-LHR,June 2015
3142,A321,Solo Leisure,Economy Class,LHR-GLA,June 2015
3143,A321,Solo Leisure,Economy Class,GLA-LHR,May 2015
3144,,A319,Business,Business Class,FRA-LHR
3145,,Boeing 777,Couple Leisure,Business Class,Gatwick to Barbados
3146,,Airbus 319,Business,Business Class,Kiev to London
3147,,Family Leisure,Economy Class,,
3148,,Boeing 747-400,Business,Business Class,London-Vancouver return
3149,,Boeing 747-400,Business,Business Class,LHR-ORD
3150,,Business,Premium Economy,BOM-LHR,
3151,,Business,Business Class,LHR-BOM,
3152,,Boeing 747 / 777,Family Leisure,Business Class,
3153,,,Business Class,,
3154,,,Economy Class,,
3155,,,Economy Class,,
3156,,,Business Class,,
3157,,,First Class,,
3158,,,Business Class,,
3159,,,Economy Class,,
3160,,,Premium Economy,,
3161,,,Premium Economy,,
3162,,,Economy Class,,
3163,,,Economy Class,,
3164,,,Premium Economy,,
3165,,,Economy Class,,
3166,,,Economy Class,,
3167,,,Premium Economy,,
3168,,,Economy Class,,
3169,,,Premium Economy,,
3170,,,Business Class,,
3171,,,First Class,,
3172,,,,,
3173,,,Economy Class,,
3174,,,Premium Economy,,
3175,,,Economy Class,,
3176,,,Economy Class,,
3177,,,Premium Economy,,
3178,,,First Class,,
3179,,,Economy Class,,
3180,,,Business Class,,
3181,,,Economy Class,,
3182,,,Business Class,,
3183,,,First Class,,
3184,,,Premium Economy,,
3185,,,Business Class,,
3186,,,Economy Class,,
3187,,,Business Class,,
3188,,,Economy Class,,
3189,,,Economy Class,,
3190,,,Business Class,,
3191,,,First Class,,
3192,,,Premium Economy,,
3193,,,Business Class,,
3194,,,Economy Class,,
3195,,,Business Class,,
3196,,,Premium Economy,,
3197,,,Business Class,,
3198,,,Economy Class,,
3199,,,Business Class,,
3200,,,Economy Class,,
3201,,,Business Class,,
3202,,,Premium Economy,,
3203,,,Business Class,,
