,aircraft,travellers_type,Seat_type,route,date_flown
268,A350,Business,Premium Economy,Hamburg to Las Vegas via London,August 2023
269,,Family Leisure,Economy Class,London to Los Angeles,July 2023
270,A320,Couple Leisure,Business Class,London Heathrow to Porto,September 2023
271,,Couple Leisure,Economy Class,London to Dalaman,September 2023
272,,Solo Leisure,Economy Class,Johannesburg to Milan via London,September 2023
273,,Business,Business Class,Madrid to Vancouver via London,April 2023
274,Boeing 787,Couple Leisure,Business Class,London to Santiago,September 2023
275,A320,Couple Leisure,Business Class,London Heathrow to Faro,September 2023
276,,Solo Leisure,Economy Class,Kuwait to Lisbon via London,September 2023
277,A320,Couple Leisure,Economy Class,London to Munich,September 2023
278,,Solo Leisure,Economy Class,Frankfurt to London City,September 2023
279,A321,Couple Leisure,Business Class,London to Keflavik,August 2023
280,Boeing 777-200,Couple Leisure,Business Class,Mumbai to London,August 2023
281,,Business,Premium Economy,Houston to London Heathrow,September 2023
282,A380,Solo Leisure,Business Class,London to Miami,September 2023
283,,Boeing 777,Economy Class,Los Angeles to London,August 2023
284,,Couple Leisure,Economy Class,New York JFK to Malaga via London,June 2023
285,,Couple Leisure,Premium Economy,Chicago to Rome via London,July 2023
286,A320,Solo Leisure,Business Class,London to Malaga,August 2023
287,,Solo Leisure,Economy Class,Frankfurt to London Heathrow,August 2023
288,A320,Couple Leisure,Business Class,Tenerife to Gatwick,August 2023
289,A320,Business,Business Class,London Heathrow to Malaga,August 2023
290,,Couple Leisure,Economy Class,Newark to London,June 2023
291,,Business,Business Class,London to Johannesburg,August 2023
292,Boeing 777-300,Couple Leisure,Business Class,LHR to LAX,August 2023
293,,Family Leisure,Economy Class,Delhi to Vancouver via London,December 2022
294,,Solo Leisure,Economy Class,Copenhagen to London,June 2023
295,A320neo,Solo Leisure,Business Class,Larnaca to London Heathrow,July 2023
296,A380,Family Leisure,Economy Class,Washington to London,August 2023
297,A380,Family Leisure,Business Class,London to Miami,August 2023
298,,Family Leisure,Economy Class,London to Paris,August 2023
299,,Family Leisure,Economy Class,London to Algiers,August 2023
300,Embraer-190,Couple Leisure,Economy Class,Edinburgh to London City,July 2023
301,,Solo Leisure,Economy Class,London to Vienna,August 2023
302,A380 / A320,Business,Economy Class,San Francisco to Warsaw via London,July 2023
303,Embraer,Business,Economy Class,Frankfurt to London City,August 2023
304,,Solo Leisure,Economy Class,London to Lyon,August 2023
305,Boeing 777,Solo Leisure,Business Class,London to Hong Kong,July 2023
306,,Couple Leisure,Economy Class,Gatwick to Montpelier,July 2023
307,Boeing 787-8,Couple Leisure,Business Class,London to Mumbai,July 2023
308,A320,Couple Leisure,Business Class,Keflavik  to London,July 2023
309,,Solo Leisure,Economy Class,Gibraltar to London Heathrow,May 2023
310,A321,Family Leisure,Business Class,Madrid to London,July 2023
311,,Family Leisure,Economy Class,Rhodes to Gatwick,July 2023
312,,Family Leisure,Economy Class,Barcelona to London,July 2023
313,,Couple Leisure,Premium Economy,Inverness to Los Angeles via London,November 2022
314,,Couple Leisure,Economy Class,London City Airport to Frankfurt,July 2023
315,E190,Business,Economy Class,Amsterdam to London City,July 2023
316,A320,Couple Leisure,Business Class,Dalaman to Gatwick,June 2023
317,Boeing 787,Solo Leisure,Economy Class,Seattle to London Heathrow,June 2023
318,A320,Couple Leisure,Economy Class,Gatwick to Dalaman,June 2023
319,,Family Leisure,Business Class,London to Rhodes,July 2023
320,A320 A350,Family Leisure,Business Class,Newcastle to Las Vegas via Heathrow,June 2023
321,A380,Solo Leisure,Business Class,London to Miami,June 2023
322,A320Neo,Solo Leisure,Economy Class,Amman to London,July 2023
323,Boeing 777,Couple Leisure,Premium Economy,Chennai to London,July 2023
324,A321neo,Couple Leisure,Economy Class,Istanbul to London,July 2023
325,,Solo Leisure,Economy Class,London to Edinburgh,November 2022
326,Boeing 777 -200,Family Leisure,Premium Economy,Kingston to London,June 2023
327,Boeing 777-200,Couple Leisure,Economy Class,London Heathrow to Cape Town,June 2023
328,,Couple Leisure,Economy Class,London Heathrow to Ibiza,July 2023
329,A380,Business,Business Class,Washington to London,June 2023
330,A321,Couple Leisure,Economy Class,London Heathrow to Naples,June 2023
331,A320,Solo Leisure,Economy Class,Berlin to London,July 2023
332,,Family Leisure,Economy Class,Glasgow to London,June 2023
333,,Solo Leisure,Economy Class,Dubai to Keflavik via London,May 2023
334,A321Neo,Couple Leisure,Economy Class,Cairo to London,June 2023
335,,Solo Leisure,Economy Class,London to Madrid,May 2023
336,,Family Leisure,Economy Class,London to Cairo,June 2023
337,,Solo Leisure,Economy Class,New Orleans to London,June 2023
338,,Couple Leisure,Business Class,London to Amman,March 2023
339,A321 neo,Solo Leisure,Business Class,Heathrow to Bodrum,June 2023
340,,Solo Leisure,Economy Class,Amman to London,June 2023
341,Embraer 190,Family Leisure,Business Class,London City to Ibiza,June 2023
342,,Couple Leisure,Economy Class,London to Washington,June 2023
343,A350,Business,Business Class,Amsterdam to London,June 2023
344,Boeing 737,Couple Leisure,Economy Class,London Heathrow to Kalamata,June 2023
345,,Couple Leisure,Economy Class,London to Funchal,June 2023
346,,Family Leisure,Economy Class,Marseille to Seattle via London Heathrow,June 2023
347,,Solo Leisure,Business Class,Cairo to London,June 2023
348,,Solo Leisure,Economy Class,Bucharest to Dallas via London,June 2023
